Date,HFRIFOF,HFRIFWI,SPTR,LBUSTRUU,LEGATRUU,LF93TRUU,USGG10YR
12/31/2007,5507.9876,10238.923,2306.232,1381.7,357.5349,161.01,4.1
1/31/2008,5348.365,9963.325,2167.901,1404.91,367.4668,165.26,3.74
2/29/2008,5421.253,10112.519,2097.475,1406.86,373.6136,167.87,3.74
3/31/2008,5274.4225,9886.309,2088.418,1411.66,381.2352,171.17,3.51
4/30/2008,5327.9324,10047.559,2190.131,1408.71,373.9583,168.2,3.68
5/31/2008,5420.878,10235.425,2218.499,1398.38,369.8232,166.44,3.88
6/30/2008,5374.5755,10099.371,2031.471,1397.25,370.1382,166.43,4.1
7/31/2008,5231.7615,9867.975,2014.394,1396.11,370.648,166.59,4.01
8/31/2008,5151.8189,9725.935,2043.532,1409.36,364.5218,163.9,3.89
9/30/2008,4815.0837,9130.001,1861.438,1390.43,355.9454,159.74,3.69
10/31/2008,4515.676,8505.32,1548.814,1357.61,342.8245,153.17,3.81
11/30/2008,4396.4072,8278.405,1437.679,1401.8,352.7373,157.25,3.53
12/31/2008,4330.9588,8290.961,1452.976,1454.1,374.6532,167.07,2.42
1/31/2009,4361.8125,8283.494,1330.51,1441.27,362.4016,161.89,2.52
2/28/2009,4345.6117,8182.905,1188.84,1435.83,354.3056,158.25,2.87
3/31/2009,4346.7879,8318.474,1292.977,1455.79,362.4595,161.94,2.82
4/30/2009,4392.5935,8618.07,1416.727,1462.75,365.72,163.77,2.93
5/31/2009,4538.6121,9061.609,1495.969,1473.36,378.7724,169.81,3.29
6/30/2009,4555.8427,9084.185,1498.937,1481.74,380.3394,170.64,3.72
7/31/2009,4625.84,9311.279,1612.312,1505.64,388.7619,174.59,3.56
8/31/2009,4676.4629,9432.353,1670.523,1521.23,395.5908,177.71,3.59
9/30/2009,4757.7006,9695.257,1732.859,1537.21,404.0448,181.71,3.4
10/31/2009,4753.444,9675.582,1700.668,1544.8,405.9431,182.64,3.39
11/30/2009,4791.356,9822.295,1802.68,1564.8,416.2799,187.22,3.4
12/31/2009,4827.6664,9947.841,1837.499,1540.34,400.6166,180.49,3.59
1/31/2010,4809.8651,9872.124,1771.398,1563.87,402.2715,181.28,3.73
2/28/2010,4816.1549,9937.239,1826.271,1569.71,402.5709,181.4,3.69
3/31/2010,4895.8756,10185.065,1936.477,1567.78,399.5282,180.28,3.73
4/30/2010,4939.951,10306.344,1967.049,1584.1,399.5925,180.43,3.85
5/31/2010,4811.7358,10008.097,1809.979,1597.43,393.3464,177.41,3.42
6/30/2010,4769.1164,9912.785,1715.229,1622.48,399.3711,180.12,3.2
7/31/2010,4805.8567,10072.655,1835.404,1639.79,412.9417,186.33,3.01
8/31/2010,4811.9512,10059.683,1752.546,1660.89,418.6888,188.85,2.7
9/30/2010,4924.8678,10410.189,1908.951,1662.66,428.5144,193.39,2.65
10/31/2010,4997.7977,10633.156,1981.585,1668.58,433.8954,195.92,2.54
11/30/2010,4992.9083,10653.178,1981.839,1658.99,417.3784,188.53,2.76
12/31/2010,5102.995,10967.013,2114.289,1641.1,422.8288,191.04,3.29
1/31/2011,5110.4271,11011.515,2164.401,1643.01,423.5898,191.51,3.39
2/28/2011,5153.0493,11147.06,2238.551,1647.12,426.0836,192.69,3.58
3/31/2011,5148.1495,11153.785,2239.441,1648.03,428.0903,193.63,3.41
4/30/2011,5211.0333,11318.638,2305.763,1668.95,441.3591,199.57,3.46
5/31/2011,5154.6332,11182.856,2279.663,1690.73,441.0128,199.42,3.17
6/30/2011,5087.5786,11051.365,2241.663,1685.78,441.3473,199.52,3
7/31/2011,5107.3441,11076.265,2196.079,1712.53,450.4575,203.56,3
8/31/2011,4972.6587,10720.179,2076.784,1737.55,456.1867,205.77,2.3
9/30/2011,4834.0015,10303.129,1930.789,1750.19,445.6455,200.83,1.98
